标题,标题链接,摘要,来源,时间
“两院院士评选2023年中国/世界十大科技进展新闻”揭晓,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fbusiness.cctv.com%2F2024%2F01%2F11%2FARTI7hWIVg5BWjtdtNEIIf6S240111.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							7.液氮温区镍氧化物超导体首次发现 镍氧化物样品制备（中山大学供图）7月12日，《自然》杂志刊登了中山大学王猛教授团队与清华大学、华南理工大学等单位合作的成果：首次发现在14 GPa压力下达到液氮温区的镍氧化物超导体		                        						",来源：产业+,发布时间：2024-01-11 11:37:45
潞村探路乡村振兴新路径,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F01%2FARTIOdoYzifXKvby1R9irR0i231101.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							　　""俗话说‘兵马未动，粮草先行’，在乡村旅游的发展条件中，资源是根本性的基础条件之一……"" 10月第二个星期三晚8时，中山大学人文地理博士徐文雄准时出现在乡旅学堂的线上直播间，这堂以""乡村休闲旅游资源调查与开发		                        						",来源：新闻,发布时间：2023-11-01 12:37:02
沟通传统与现代 链接乡村和世界 潞村探路乡村振兴新路径,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2023%2F10%2F30%2FARTINOJtUZ8w2mI100K4cqpW231030.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							""俗话说‘兵马未动，粮草先行’，在乡村旅游的发展条件中，资源是根本性的基础条件之一……"" 10月第二个星期三晚8时，中山大学人文地理博士徐文雄准时出现在乡旅学堂的线上直播间，这堂以""乡村休闲旅游资源调查与开发		                        						",来源：地方频道,发布时间：2023-10-30 14:33:17
“研学游”，如何实现“研学优”（解码·关注暑期生活）,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F08%2F21%2FARTILLj6gZRghPtYlHbc88Wj230821.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							在中山大学旅游学院教授张朝枝看来，研学让教育走进现实场景，""通过情境式、启发式和体验性学习，激发学生探索未知世界的兴趣、主动学习的动机，促进书本知识和生活经验的融合。""　　		                        						",来源：新闻,发布时间：2023-08-21 11:47:04
“在新征程上推动高质量发展”理论座谈会发言摘编,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F12%2F25%2FARTITdYIfyDoIqFj9QHxt5ac231225.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							以科技创新引领现代化产业体系建设　　中山大学国家发展研究院院长  赵昌文　　现代化产业体系是现代化国家的物质技术基础。		                        						",来源：新闻,发布时间：2023-12-25 15:32:43
"文化+艺术""两条腿""走路 ""新艺考""今年落地实施",https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2024%2F01%2F15%2FARTI8k8FCwmuAfiZnOB9u1a9240115.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							采用省级统考成绩的高校数量在逐年增加：2020年，超过20所高校开始采用省级统考成绩；到了2021年，中山大学、西安交通大学等15所""双一流""高校部分艺术类专业取消校考。		                        						",来源：教育,发布时间：2024-01-15 16:12:48
我国研究团队：格陵兰冰盖今年大范围融化已开始,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F07%2FARTIBTLSDJmWmjQx8iAfhvQ3230607.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							中山大学极地环境立体观测与应用教育部重点实验室主任程晓教授介绍，这一数据是在国家卫星气象中心提供的风云卫星数据的支持下，由中山大学的极地冰盖表面融化实时监测系统分析到的。　　		                        						",来源：新闻,发布时间：2023-06-07 15:00:10
能吃能喝能上天，还能保存上千年！多地高校录取通知书上新,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F27%2FARTIM4ieSmwwiKeHzfeoXkDM230627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D16,"
		                        								                        							
		                        									                        							中山大学录取通知书里藏着来自云南凤庆的惊喜6月18日中山大学校园开放日""剧透""了今年的录取通知书套装样式以状元红为整体色调长方形礼盒为红砖样式木棉花纹隐隐浮现于盒上礼盒徐徐展开古朴的篆体字""录取通知书""		                        						",来源：新闻,发布时间：2023-06-27 21:56:55
用开化纸 送上“超级涂层” 多所高校录取通知书“上新”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F06%2F25%2FARTIZAf5oFlblKo6yWL3lOxm230625.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							中山大学内有普洱茶和小砖块日前，中山大学2023年本科录取通知书亮相，通知书套装以金榜题名状元红为整体色调，长方形礼盒为红砖样式。		                        						",来源：教育,发布时间：2023-06-25 14:55:11
多所高校录取通知书“上新”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F24%2FARTIkBdtz4F62x4xj03uW9Jn230624.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							中山大学　　内有普洱茶和小砖块　　日前，中山大学2023年本科录取通知书亮相，通知书套装以金榜题名状元红为整体色调，长方形礼盒为红砖样式。　　		                        						",来源：新闻,发布时间：2023-06-24 06:26:09
《心理访谈》专家库：周正,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F05%2F15%2FARTIZW8xJyQDxflTzpQoS1zy230515.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							中山大学医学士、哲学学士；河南财经政法大学原心理健康教育中心主任；河南财经政法大学原心理研究所所长；河南中医药研究院研究员。		                        						",来源：CCTV-12社会与法频道,发布时间：2023-05-15 11:18:20
又一位勇士！跳下20米高桥救人,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F29%2FARTIbaBet61J1SzJ4g2d4t64230629.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							6月23日中午1时30分许，在中山大学附属第三医院肇庆医院病床上的罗范春刚醒过来第一句话仍是牵挂看那位跳桥轻生的女子，他因跳桥救人昏迷近半小时。　　		                        						",来源：新闻,发布时间：2023-06-29 22:17:27
"中国社会心理学会2023年学术年会圆满举办
中央广播电视总台《心理访谈》栏目助力社会心理创新 推动中国式现代化",https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F08%2F30%2FARTIKxR1WbYAITwudErOF4KD230830.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							中国社会心理学会现任会长、中山大学佐斌教授致辞在主旨报告环节，北京大学谢晓非教授、广西师范大学特聘教授张积家教授、华东师范大学崔丽娟教授、中国科学院心理研究所穆妍研究员、中山大学周国梅教授、中国广视索福瑞媒介研究公司总经理丁迈女士先后围绕炫耀利他行为		                        						",来源：CCTV-12社会与法频道,发布时间：2023-08-30 11:26:35
“研学游”，如何实现“研学优”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F08%2F21%2FARTIiLzu4E9lcSXKct9NEPZn230821.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							在中山大学旅游学院教授张朝枝看来，研学让教育走进现实场景，""通过情境式、启发式和体验性学习，激发学生探索未知世界的兴趣、主动学习的动机，促进书本知识和生活经验的融合。""　　		                        						",来源：新闻,发布时间：2023-08-21 06:57:57
一纸千年、以钢为纸 这届高校录取通知书堪比“神仙打架”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F07%2F14%2FARTIHmwETmiqrdTu9j7e0PKI230714.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							中山大学：为振兴中华""添砖加瓦""中山大学2023年本科录取通知书套装以状元红为整体色调，录取通知书的背后，盒面印有儒家经书《礼·中庸》选段""博学之、审问之、慎思之、明辨之、笃行之""，这也正是中山大学校训的出处		                        						",来源：教育,发布时间：2023-07-14 09:44:46
大学这张“牌”不能想打就打,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2021%2F12%2F17%2FARTI1RBYHlfr5b3B8MSt2BIe211217.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							但同样涉及商标疑问，""中山大学""牌的护肤品所面临的争议，与此前的商标权纠纷有明显区别。从媒体调查来看，""中山大学""牌身体乳背后的企业，此前疑似为中山大学的校企。		                        						",来源：教育,发布时间：2021-12-17 10:08:16
援外医疗谱写大爱无疆 从“授人以鱼”到“授人以渔”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F08%2F19%2FARTIcBhBykb0T68yLzVjD30z230819.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D17,"
		                        								                        							
		                        									                        							在位于马尔代夫的中国—马尔代夫眼科中心，来自中山大学中山眼科中心的中国援外医疗团队正在为68岁的默罕默德进行白内障手术。仅10分钟的手术，就解决了默罕默德长达5年的视力模糊问题。　　		                        						",来源：新闻,发布时间：2023-08-19 11:43:25
第五届海峡两岸中山论坛9月7日开幕,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2023%2F09%2F04%2FARTIi9geo5CQB6lzlQQHQ3MQ230904.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							本届论坛由海峡两岸关系研究中心、广东省海峡两岸交流促进会、中山市海峡两岸交流促进会以及中山大学联合主办。		                        						",来源：地方频道,发布时间：2023-09-04 15:35:57
《百家讲坛》节目预告：《诗歌故人心》（第三部）第12集《先生事业不可量》7月2日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F07%2F02%2FARTIVsejtaqKX4ZCx9gU2PlI230702.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第十二集《先生事业不可量》。		                        						",来源：CCTV-10科教频道,发布时间：2023-07-02 14:32:42
《百家讲坛》节目预告：《诗歌故人心》（第三部）第10集《尽乞江湖作醉乡》   6月30日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F28%2FARTIdPHFYDKOPLZTdUTbaOXn230627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第10集《尽乞江湖作醉乡》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-28 11:20:23
时政Vlog丨和马克龙一起走在校园里是什么体验？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F04%2F07%2FARTIbYIIjIGqpGXnqQgEtGhV230407.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							4月7日下午，法国总统马克龙来到中山大学，他从怀士堂下车，沿着校园的中轴线""逸仙路""步行至体育馆。一路上马克龙总统热情地和沿路欢迎他的同学们打招呼！		                        						",来源：新闻,发布时间：2023-04-07 21:45:11
《百家讲坛》节目预告：《诗歌故人心》（第三部）第4集《不曾一度不低眉》 6月24日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F24%2FARTIwgqA8T4C4mu7879I3tKB230624.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第四集《不曾一度不低眉》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-24 13:49:57
《百家讲坛》节目预告：《诗歌故人心》（第三部）第3集《南湖一片风》 6月23日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F21%2FARTIWec1KAklFerUHT3UPMI0230621.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第3集《南湖一片风》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-21 15:46:30
高水平开放持续推进 一季度我国新设外资企业数超1万家,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F05%2F11%2FARTIxqFIUQYfTK3I6l4CfniW230511.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学广东决策科学研究院副院长 史欣向：外商来到广东，看中的是广东的商业氛围，加上广东经济发展的韧性和底气、全球高端要素的集聚。　　		                        						",来源：新闻,发布时间：2023-05-11 11:00:28
《百家讲坛》节目预告：《诗歌故人心》（第三部）第11集《为君唤起黄州梦》7月1日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F07%2F02%2FARTIyDbzPKNTBXOI9rh6c9Zg230702.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部 第十一集《为君唤起黄州梦》。		                        						",来源：CCTV-10科教频道,发布时间：2023-07-02 14:30:22
《百家讲坛》节目预告：《诗歌故人心》（第三部）第9集《旅雁初来忆弟兄》   6月29日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F28%2FARTIHjLphTzqa7c3d3kteHBx230627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》（第三部）第9集《旅雁初来忆弟兄》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-28 11:18:49
《百家讲坛》节目预告：《诗歌故人心》（第三部）第7集《忽报梦中携手行》   6月27日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F27%2FARTIs1rnY6Ul6YCo44gXJmI9230627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D18,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第7集《忽报梦中携手行》敬请关注。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-27 18:11:59
多所高校明确 老生、新生如遇紧急灾害可申请临时困难补助,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F08%2F03%2FARTIZcgXyDiO8XVRVrSsTRvX230803.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							据统计，清华大学、北京航空航天大学、南开大学、天津大学、西北工业大学、华东师范大学、厦门大学、上海交通大学、中山大学、大连理工大学、同济大学、中国矿业大学（北京）、北京化工大学、北京科技大学、北京林业大学		                        						",来源：新闻,发布时间：2023-08-03 18:10:00
为爱来中国，洋教授用“生物医生”拯救废矿山,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2019%2F10%2F01%2FARTI9W82RUPLB4I61axuOlP6191001.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							中山大学生命科学学院瑞士籍教授奥斯丁·巴特瑟·史德海林和中山大学生命科学学院副教授谢致平 羊城晚报记者 黄巍俊 摄  奥斯丁·巴特瑟·史德海林获颁		                        						",来源：新闻,发布时间：2019-10-01 17:09:50
《百家讲坛》节目预告：《诗歌故人心》（第三部）第8集《两心终是死生同》   6月28日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F28%2FARTIdJCAuU9AruVH50k171vk230627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第8集《两心终是死生同》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-28 09:52:40
《百家讲坛》节目预告：《诗歌故人心》（第三部）第6集《为君啸一曲》6月26日播出,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F06%2F24%2FARTIPW2BWN9WNuwrQD1INs2c230624.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							中山大学彭玉平教授做客《百家讲坛》，为您精彩讲述系列节目《诗歌故人心》第三部第6集《为君啸一曲》。		                        						",来源：CCTV-10科教频道,发布时间：2023-06-24 13:52:13
学生P图盗用他人研究生录取信息 长江大学：已在处理,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F05%2F16%2FARTIM0pVwRH1uUSWJkWYDORl230516.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							值得一提的是，长江大学新闻网稍早前发布的一篇报道称，地球科学学院考研喜讯频传，刘某某、夏某某、侯某某等142位同学被中国科学院大学、中山大学、中国地质大学、中国石油大学、苏黎世联邦理工等29所国内外高校或科研院所录取		                        						",来源：新闻,发布时间：2023-05-16 05:10:29
【学习贯彻习近平新时代中国特色社会主义思想主题教育】以主题教育成效推动教育高质量发展,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F05%2F02%2FARTIIlwOw3xWjjRHvFwbNay7230502.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							坚持目标导向与问题导向相统一，中山大学、四川大学、中南大学等中管高校引导和推动党员、干部在学深悟透上下功夫，从党的创新理论中找方向、找答案、找方法，围绕全面提高人才自主培养质量等重点任务，深入开展调查研究		                        						",来源：新闻,发布时间：2023-05-02 19:55:23
暑假乐游防“热过头”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F30%2FARTIQEG2nCI7qUEOEucETrmN230630.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							不渴也要多喝水　　在旅游胜地，品尝美食是少不了的一环，然而中山大学孙逸仙纪念医院临床营养科主任陈超刚教授提醒，气候炎热在饮食上应该以清淡为宜，同时要多喝水，但忌大量饮用冰冻饮料。　　		                        						",来源：新闻,发布时间：2023-06-30 13:52:06
2023世界人工智能大会青年优秀论文奖揭晓,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fsh.cctv.com%2F2023%2F08%2F25%2FARTI1qS2PGWQ9TKB7HuhdDZB230825.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D19,"
		                        								                        							
		                        									                        							颁奖活动结束后，获奖者代表分享了三个最新研究成果，分别是中山大学物理学院副教授张云蔚的《机器学习结合阻抗谱技术预测锂电池老化》，该研究被Nat.Comm评为2020年Top 50物理论文；来自上海人工智能实验室		                        						",来源：总台上海总站,发布时间：2023-08-25 16:35:49
